Modelo,Algoritmo,Versão,Heartbleed (det),Heartbleed (%),Infiltration (det),Infiltration (%)
RF_original,Random Forest,ORIGINAL,0/11,0.0,0/36,0.0
RF_pca,Random Forest,PCA,10/11,90.9090909090909,0/36,0.0
RF_lda,Random Forest,LDA,10/11,90.9090909090909,6/36,16.666666666666664
XGB_original,XGBoost,ORIGINAL,6/11,54.54545454545454,0/36,0.0
XGB_pca,XGBoost,PCA,10/11,90.9090909090909,1/36,2.7777777777777777
XGB_lda,XGBoost,LDA,10/11,90.9090909090909,8/36,22.22222222222222
IF_original,Isolation Forest,ORIGINAL,11/11,100.0,30/36,83.33333333333334
IF_pca,Isolation Forest,PCA,11/11,100.0,31/36,86.11111111111111
IF_lda,Isolation Forest,LDA,11/11,100.0,32/36,88.88888888888889
MS_original,Mean Shift,ORIGINAL,11/11,100.0,28/36,77.77777777777779
MS_pca,Mean Shift,PCA,11/11,100.0,30/36,83.33333333333334
MS_lda,Mean Shift,LDA,11/11,100.0,33/36,91.66666666666666
