Label_real,RF_original,RF_pca,RF_lda,XGB_original,XGB_pca,XGB_lda,IF_original,IF_pca,IF_lda,MS_original,MS_pca,MS_lda
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
Infiltration,BENIGN,BENIGN,DoS Hulk,BENIGN,BENIGN,DoS Hulk,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
Infiltration,BENIGN,BENIGN,DoS Hulk,BENIGN,BENIGN,DoS Hulk,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,DoS Hulk,BENIGN,BENIGN,DoS Hulk,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,DoS Hulk,BENIGN,BENIGN,DoS Hulk,ANOMALIA,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,DoS Hulk,BENIGN,BENIGN,DoS Hulk,ANOMALIA,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
