Posição,Algoritmo,Versão,Modelo,Acurácia,Precisão,Recall,F1-Score,FPR,FNR,TP,FP,TN,FN,Algoritmo_Completo
1,MS,PCA,MS_pca,0.8639455782312925,0.7454545454545455,0.8723404255319149,0.803921568627451,0.14,0.1276595744680851,41,14,86,6,Mean Shift
2,IF,ORIGINAL,IF_original,0.8231292517006803,0.6721311475409836,0.8723404255319149,0.7592592592592593,0.2,0.1276595744680851,41,20,80,6,Isolation Forest
3,MS,ORIGINAL,MS_original,0.8163265306122449,0.6724137931034483,0.8297872340425532,0.7428571428571429,0.19,0.1702127659574468,39,19,81,8,Mean Shift
4,IF,PCA,IF_pca,0.782312925170068,0.6086956521739131,0.8936170212765957,0.7241379310344828,0.27,0.10638297872340426,42,27,73,5,Isolation Forest
5,IF,LDA,IF_lda,0.7210884353741497,0.5375,0.9148936170212766,0.6771653543307087,0.37,0.0851063829787234,43,37,63,4,Isolation Forest
6,XGB,LDA,XGB_lda,0.7755102040816326,0.8181818181818182,0.3829787234042553,0.5217391304347826,0.04,0.6170212765957447,18,4,96,29,XGBoost
7,RF,LDA,RF_lda,0.7687074829931972,0.8421052631578947,0.3404255319148936,0.48484848484848486,0.03,0.6595744680851063,16,3,97,31,Random Forest
8,MS,LDA,MS_lda,0.3469387755102041,0.32116788321167883,0.9361702127659575,0.4782608695652174,0.93,0.06382978723404255,44,93,7,3,Mean Shift
9,XGB,PCA,XGB_pca,0.7278911564625851,0.7333333333333333,0.23404255319148937,0.3548387096774194,0.04,0.7659574468085106,11,4,96,36,XGBoost
10,RF,PCA,RF_pca,0.7346938775510204,0.8333333333333334,0.2127659574468085,0.3389830508474576,0.02,0.7872340425531915,10,2,98,37,Random Forest
11,XGB,ORIGINAL,XGB_original,0.7210884353741497,1.0,0.1276595744680851,0.22641509433962265,0.0,0.8723404255319149,6,0,100,41,XGBoost
12,RF,ORIGINAL,RF_original,0.6802721088435374,0.0,0.0,0.0,0.0,1.0,0,0,100,47,Random Forest
